,V0226,V0227,V02270,V02271,V02272,V02273,V02274,V2027
480,2.0,,1.0,0.0,3.0,3.0,1.0,1.0
484,2.0,,1.0,0.0,3.0,3.0,1.0,1.0
489,2.0,,0.0,2.0,3.0,5.0,1.0,3.0
493,2.0,,0.0,1.0,3.0,3.0,1.0,3.0
525,2.0,,1.0,0.0,1.0,1.0,1.0,1.0
535,2.0,,1.0,0.0,3.0,3.0,1.0,3.0
536,2.0,,1.0,1.0,3.0,3.0,1.0,1.0
538,2.0,,1.0,0.0,3.0,1.0,1.0,1.0
540,2.0,,1.0,0.0,3.0,3.0,1.0,1.0
550,2.0,,0.0,1.0,3.0,1.0,1.0,3.0
552,2.0,,1.0,0.0,3.0,1.0,1.0,1.0
561,2.0,,2.0,0.0,3.0,1.0,1.0,1.0
589,2.0,,0.0,1.0,3.0,3.0,3.0,3.0
596,2.0,,1.0,0.0,3.0,3.0,3.0,1.0
598,2.0,,1.0,0.0,3.0,3.0,1.0,3.0
600,2.0,,1.0,0.0,1.0,3.0,3.0,1.0
601,2.0,,1.0,0.0,1.0,1.0,3.0,1.0
603,2.0,,0.0,1.0,3.0,3.0,1.0,3.0
618,2.0,,0.0,1.0,3.0,3.0,1.0,3.0
619,2.0,,2.0,0.0,3.0,1.0,3.0,1.0
629,2.0,,1.0,0.0,3.0,1.0,1.0,1.0
635,2.0,,1.0,1.0,3.0,3.0,1.0,1.0
637,2.0,,0.0,1.0,3.0,3.0,1.0,1.0
638,2.0,,1.0,0.0,3.0,3.0,1.0,1.0
646,2.0,,1.0,1.0,3.0,3.0,1.0,1.0
648,2.0,,1.0,1.0,3.0,3.0,1.0,1.0
672,2.0,,0.0,1.0,3.0,1.0,1.0,3.0
674,2.0,,1.0,0.0,3.0,1.0,1.0,1.0
675,2.0,,0.0,1.0,3.0,1.0,1.0,3.0
676,2.0,,1.0,0.0,3.0,1.0,1.0,3.0
678,2.0,,2.0,0.0,1.0,1.0,1.0,1.0
681,2.0,,1.0,0.0,3.0,1.0,1.0,1.0
683,2.0,,1.0,0.0,3.0,1.0,1.0,1.0
686,2.0,,1.0,0.0,3.0,1.0,3.0,3.0
689,2.0,,0.0,2.0,3.0,1.0,1.0,1.0
691,2.0,,1.0,0.0,3.0,3.0,3.0,3.0
693,2.0,,0.0,1.0,3.0,3.0,3.0,3.0
694,2.0,,1.0,0.0,3.0,1.0,1.0,1.0
696,2.0,,0.0,1.0,3.0,3.0,3.0,1.0
701,2.0,,2.0,0.0,3.0,1.0,1.0,1.0
703,2.0,,1.0,0.0,1.0,1.0,3.0,1.0
705,2.0,,2.0,0.0,3.0,1.0,1.0,1.0
709,2.0,,1.0,1.0,1.0,1.0,1.0,1.0
710,2.0,,1.0,0.0,1.0,3.0,3.0,1.0
711,2.0,,1.0,0.0,3.0,1.0,1.0,3.0
715,2.0,,0.0,1.0,3.0,3.0,3.0,3.0
717,2.0,,0.0,1.0,1.0,1.0,1.0,3.0
720,2.0,,1.0,0.0,3.0,1.0,3.0,3.0
721,2.0,,0.0,2.0,3.0,3.0,1.0,1.0
722,2.0,,1.0,0.0,1.0,1.0,3.0,1.0
724,2.0,,2.0,0.0,1.0,3.0,3.0,1.0
726,2.0,,1.0,1.0,1.0,1.0,1.0,1.0
730,2.0,,1.0,0.0,3.0,3.0,3.0,1.0
733,2.0,,1.0,0.0,3.0,3.0,3.0,1.0
745,2.0,,0.0,1.0,3.0,3.0,3.0,1.0
749,2.0,,1.0,1.0,1.0,1.0,1.0,1.0
753,2.0,,1.0,0.0,3.0,1.0,1.0,1.0
761,2.0,,1.0,0.0,3.0,1.0,1.0,1.0
764,2.0,,1.0,0.0,3.0,1.0,3.0,3.0
765,2.0,,0.0,1.0,3.0,3.0,1.0,1.0
771,2.0,,0.0,1.0,1.0,3.0,3.0,1.0
775,2.0,,0.0,3.0,3.0,3.0,1.0,1.0
778,2.0,,1.0,0.0,1.0,3.0,3.0,3.0
781,2.0,,1.0,0.0,3.0,1.0,1.0,1.0
783,2.0,,1.0,0.0,3.0,1.0,3.0,3.0
788,2.0,,0.0,2.0,1.0,3.0,1.0,3.0
796,2.0,,1.0,0.0,1.0,3.0,1.0,1.0
797,2.0,,1.0,0.0,1.0,1.0,1.0,1.0
798,2.0,,1.0,1.0,1.0,5.0,3.0,3.0
799,2.0,,1.0,1.0,3.0,3.0,1.0,1.0
800,2.0,,1.0,0.0,1.0,1.0,1.0,1.0
805,2.0,,1.0,1.0,3.0,1.0,3.0,1.0
806,2.0,,1.0,1.0,1.0,1.0,1.0,3.0
811,2.0,,0.0,1.0,1.0,3.0,1.0,1.0
818,2.0,,0.0,1.0,3.0,1.0,1.0,3.0
822,2.0,,1.0,0.0,3.0,3.0,1.0,1.0
828,2.0,,1.0,0.0,1.0,5.0,1.0,1.0
836,2.0,,1.0,0.0,1.0,1.0,3.0,1.0
857,2.0,,0.0,1.0,3.0,1.0,1.0,1.0
858,2.0,,1.0,1.0,1.0,1.0,3.0,1.0
862,2.0,,1.0,0.0,3.0,1.0,3.0,1.0
873,2.0,,1.0,1.0,3.0,1.0,1.0,3.0
876,2.0,,1.0,0.0,1.0,1.0,3.0,3.0
878,2.0,,1.0,1.0,1.0,3.0,3.0,1.0
885,2.0,,1.0,0.0,3.0,3.0,3.0,1.0
888,2.0,,1.0,0.0,3.0,1.0,1.0,1.0
893,2.0,,1.0,0.0,3.0,3.0,1.0,3.0
897,2.0,,0.0,1.0,3.0,3.0,3.0,1.0
904,2.0,,0.0,1.0,3.0,5.0,1.0,1.0
910,2.0,,2.0,0.0,3.0,5.0,1.0,1.0
912,2.0,,1.0,0.0,3.0,1.0,1.0,1.0
914,2.0,,1.0,0.0,3.0,1.0,1.0,1.0
931,2.0,,0.0,1.0,3.0,3.0,1.0,1.0
933,2.0,,0.0,1.0,3.0,3.0,1.0,1.0
940,2.0,,0.0,1.0,3.0,3.0,1.0,1.0
951,2.0,,1.0,0.0,3.0,3.0,1.0,1.0
952,2.0,,1.0,0.0,3.0,5.0,1.0,1.0
953,2.0,,1.0,0.0,1.0,5.0,3.0,1.0
986,2.0,,0.0,2.0,3.0,3.0,1.0,1.0
990,2.0,,1.0,0.0,3.0,3.0,1.0,1.0
993,2.0,,0.0,1.0,3.0,3.0,1.0,3.0
997,2.0,,1.0,0.0,1.0,1.0,1.0,1.0
998,2.0,,1.0,1.0,1.0,3.0,3.0,3.0
999,2.0,,0.0,1.0,3.0,1.0,1.0,1.0
1000,2.0,,1.0,0.0,1.0,1.0,1.0,1.0
1002,2.0,,1.0,0.0,1.0,1.0,1.0,1.0
1004,2.0,,0.0,1.0,3.0,3.0,1.0,3.0
1005,2.0,,1.0,0.0,1.0,1.0,3.0,3.0
1006,2.0,,1.0,0.0,3.0,3.0,1.0,3.0
1007,2.0,,0.0,1.0,3.0,3.0,1.0,3.0
1012,2.0,,1.0,0.0,1.0,1.0,1.0,1.0
1018,2.0,,1.0,0.0,3.0,1.0,1.0,1.0
1019,2.0,,1.0,0.0,1.0,1.0,3.0,1.0
1024,2.0,,1.0,0.0,3.0,3.0,1.0,1.0
1030,2.0,,1.0,0.0,3.0,3.0,1.0,1.0
1033,2.0,,1.0,0.0,3.0,3.0,1.0,1.0
1053,2.0,,1.0,0.0,3.0,5.0,1.0,3.0
1055,2.0,,1.0,0.0,3.0,3.0,1.0,1.0
1060,2.0,,0.0,1.0,3.0,3.0,1.0,3.0
1061,2.0,,0.0,1.0,3.0,3.0,3.0,3.0
1063,2.0,,1.0,0.0,3.0,3.0,1.0,3.0
1064,2.0,,1.0,0.0,3.0,1.0,1.0,3.0
1067,2.0,,0.0,1.0,3.0,1.0,1.0,1.0
1069,2.0,,1.0,1.0,3.0,3.0,1.0,1.0
1070,2.0,,1.0,0.0,3.0,3.0,1.0,1.0
1072,4.0,3.0,,,,,,3.0
1076,2.0,,0.0,2.0,1.0,3.0,1.0,1.0
1077,2.0,,2.0,0.0,1.0,1.0,1.0,1.0
1078,2.0,,0.0,1.0,3.0,3.0,1.0,3.0
1081,2.0,,2.0,0.0,1.0,3.0,1.0,3.0
1083,2.0,,1.0,0.0,1.0,3.0,1.0,3.0
1084,2.0,,1.0,0.0,3.0,1.0,1.0,1.0
1086,2.0,,1.0,0.0,3.0,1.0,1.0,3.0
